experiment,macro_f1,vocab_size,vocab_reduction_%
A_raw,0.47909029127748015,31660,0.0
B_clean,0.47909029127748015,31660,0.0
D_stop_lemma,0.4689894054079165,18699,40.938092229943145
C_stop,0.4622821744177032,18137,42.71320277953253
