Model,Accuracy,Macro_F1,Macro_Precision,Macro_Recall
Logistic Regression,0.5401606425702812,0.47909029127748015,0.4772002515795168,0.48167519473897064
Linear SVM,0.5341365461847389,0.40589061971089396,0.424306689651001,0.40870116140036217
Multinomial NB,0.536144578313253,0.23267973856209148,0.178714859437751,0.3333333333333333
FNN (GloVe mean),0.5642570281124498,0.3370347227646298,0.3855273103393404,0.37919787765293383
BERT,0.5783132530120482,0.5055117807439539,0.5282949095903681,0.49454192382760986
