compare,t_stat,p_value
BERT vs FNN,11.736611731222176,0.0003014730814569719
BERT vs SVM,7.044783523530547,0.002140339885380036
BERT vs NB,6.6116406414565665,0.002712829463388063
BERT vs LR,4.769190695661195,0.00884532482469167
