model,mean_macro_f1,std_macro_f1
BERT,0.5296616093491056,0.030122232213229294
LR,0.4789520973850663,0.02431123042760646
SVM,0.4219856414800892,0.013989485132537045
NB,0.38077296886413636,0.025747701833262266
FNN,0.37462764587036024,0.011616662924387214
