Model,Accuracy,Macro_F1,Macro_Precision,Macro_Recall
LR (tuned),0.5220883534136547,0.4766869535001151,0.47726133192289,0.48788486223206906
Linear SVM (tuned),0.572289156626506,0.4365891140726505,0.49706058955776183,0.43513983401030404
Multinomial NB (tuned),0.6004016064257028,0.41614044351264085,0.5759535655058042,0.43121153575636084
